iter	Passed	Remaining
0	0	960
1	1	927
2	2	889
3	3	875
4	4	861
5	5	851
6	5	844
7	6	841
8	7	844
9	8	835
10	9	825
11	10	826
12	10	825
13	11	821
14	12	824
15	13	827
16	14	824
17	15	860
18	16	849
19	17	841
20	17	835
21	18	831
22	19	823
23	20	818
24	20	813
25	21	809
26	22	806
27	23	801
28	23	796
29	24	790
30	25	787
31	26	788
32	26	784
33	27	779
34	28	773
35	28	769
36	29	766
37	30	762
38	30	759
39	31	756
40	32	752
41	32	750
42	33	746
43	34	743
44	34	740
45	35	738
46	36	736
47	37	735
48	37	732
49	38	730
50	39	727
51	39	725
52	40	724
53	41	721
54	41	719
55	42	716
56	43	714
57	43	711
58	44	709
59	45	708
60	45	706
61	46	704
62	47	702
63	47	700
64	48	699
65	49	697
66	49	695
67	50	694
68	51	693
69	52	691
70	52	689
71	53	687
72	54	686
73	54	686
74	55	685
75	56	684
76	57	683
77	57	682
78	58	680
79	58	676
80	59	675
81	60	674
82	60	672
83	61	671
84	62	670
85	63	670
86	63	668
87	64	667
88	65	666
89	65	665
90	66	665
91	67	664
92	68	663
93	68	662
94	69	661
95	70	660
96	70	659
97	71	658
98	72	657
99	72	655
100	73	654
101	74	653
102	74	652
103	75	651
104	76	649
105	76	648
106	77	647
107	78	646
108	78	645
109	79	644
110	80	643
111	81	642
112	81	641
113	82	640
114	82	638
115	83	639
116	84	638
117	85	638
118	86	637
119	86	636
120	87	635
121	88	635
122	88	634
123	89	633
124	90	632
125	91	632
126	91	631
127	92	630
128	93	630
129	93	628
130	94	627
131	95	627
132	96	626
133	96	625
134	97	625
135	98	623
136	98	622
137	99	621
138	100	621
139	100	620
140	101	618
141	102	618
142	103	618
143	103	617
144	104	617
145	105	617
146	106	616
147	107	616
148	107	615
149	108	615
150	109	614
151	109	613
152	110	612
153	111	611
154	111	610
155	112	609
156	113	608
157	114	607
158	114	606
159	115	604
160	115	603
161	116	602
162	117	602
163	118	601
164	118	600
165	119	599
166	120	598
167	120	597
168	121	596
169	122	596
170	122	595
171	123	594
172	124	593
173	124	592
174	125	591
175	126	590
176	126	589
177	127	588
178	128	587
179	128	586
180	129	585
181	130	584
182	130	583
183	131	582
184	131	581
185	132	580
186	133	579
187	133	578
188	134	577
189	135	576
190	135	575
191	136	574
192	137	573
193	137	572
194	138	571
195	139	570
196	139	569
197	140	568
198	141	567
199	141	566
200	142	565
201	143	565
202	143	563
203	144	562
204	144	561
205	145	560
206	146	560
207	146	559
208	147	558
209	148	557
210	148	556
211	149	555
212	150	555
213	151	554
214	151	553
215	152	553
216	153	552
217	153	551
218	154	550
219	155	549
220	155	549
221	156	548
222	157	547
223	157	547
224	158	546
225	159	545
226	159	544
227	160	543
228	161	542
229	161	542
230	162	541
231	163	540
232	163	539
233	164	538
234	165	537
235	165	537
236	166	536
237	167	535
238	167	534
239	168	533
240	169	533
241	170	532
242	170	531
243	171	530
244	172	530
245	172	529
246	173	528
247	173	527
248	174	526
249	175	525
250	175	524
251	176	523
252	177	523
253	177	522
254	178	521
255	179	520
256	179	519
257	180	518
258	181	517
259	181	517
260	182	516
261	183	515
262	183	514
263	184	513
264	184	512
265	185	512
266	186	510
267	186	510
268	187	509
269	188	508
270	188	508
271	189	507
272	190	506
273	190	505
274	191	504
275	192	503
276	192	503
277	193	502
278	194	501
279	194	500
280	195	499
281	195	498
282	196	498
283	197	497
284	197	496
285	198	495
286	199	494
287	199	494
288	200	493
289	201	492
290	201	491
291	202	490
292	202	489
293	203	489
294	204	488
295	204	487
296	205	486
297	206	485
298	206	484
299	207	484
300	208	483
301	208	482
302	209	482
303	210	481
304	210	480
305	211	479
