iter	Passed	Remaining
0	0	821
1	1	695
2	2	680
3	2	659
4	3	640
5	3	620
6	4	607
7	4	593
8	5	593
9	5	591
10	6	589
11	7	581
12	7	583
13	8	578
14	8	572
15	9	568
16	9	565
17	10	569
18	11	569
19	11	577
20	12	587
21	13	590
22	13	591
23	14	598
24	15	601
25	16	605
26	16	609
27	17	614
28	18	614
29	19	615
30	19	616
31	20	618
32	21	627
33	22	628
34	22	632
35	23	635
36	24	635
37	25	636
38	25	639
39	26	636
40	27	635
41	27	633
42	28	629
43	28	625
44	29	623
45	29	619
46	30	616
47	30	614
48	31	611
49	32	610
50	32	607
51	33	604
52	33	604
53	34	602
54	34	599
55	35	596
56	35	594
57	36	593
58	37	592
59	37	590
60	38	588
61	38	586
62	39	583
63	39	581
64	40	579
65	40	579
66	41	577
67	42	575
68	42	575
69	43	575
70	43	574
71	44	572
72	44	570
73	45	568
74	45	566
75	46	565
76	47	564
77	47	563
78	48	562
79	48	561
80	49	559
81	49	558
82	50	554
83	50	552
84	51	551
85	51	550
86	52	549
87	52	548
88	53	548
89	54	547
90	54	546
91	55	544
92	55	543
93	56	542
94	56	542
95	57	541
96	58	541
97	58	539
98	59	540
99	59	539
100	60	538
101	60	536
102	61	535
103	61	534
104	62	533
105	63	532
106	63	531
107	64	530
108	64	530
109	65	529
110	65	528
111	66	527
112	67	526
113	67	525
114	68	525
115	68	524
116	69	523
117	69	522
118	70	521
119	70	520
120	71	519
121	71	517
122	72	516
123	73	516
124	73	515
125	74	514
126	74	513
127	75	512
128	75	511
129	77	515
130	77	514
131	78	512
132	78	512
133	79	511
134	79	509
135	80	508
136	80	507
137	81	507
138	81	506
139	82	505
140	82	504
141	83	502
142	83	502
143	84	500
144	84	499
145	85	498
146	85	497
147	86	496
148	86	495
149	87	494
150	87	493
151	88	492
152	88	491
153	89	491
154	89	490
155	90	489
156	90	487
157	91	487
158	91	486
159	92	485
160	92	483
161	93	482
162	93	481
163	94	481
164	95	480
165	95	480
166	96	479
167	96	478
168	97	477
169	97	476
170	98	476
171	98	475
172	99	474
173	99	473
174	100	472
175	100	471
176	101	470
177	101	469
178	102	468
179	102	467
180	103	467
181	103	466
182	104	465
183	104	464
184	105	464
185	105	463
186	106	462
187	106	461
188	107	460
189	107	460
190	108	459
191	109	458
192	109	458
193	110	458
194	110	457
195	111	456
196	111	456
197	112	455
198	112	454
199	113	453
200	113	452
201	114	451
202	114	450
203	115	450
204	115	449
205	116	448
206	116	447
207	117	446
208	117	445
209	118	445
210	118	444
211	119	443
212	119	442
213	120	442
214	120	441
215	121	440
216	121	440
217	122	439
218	122	438
219	123	438
220	124	438
221	124	437
222	125	437
223	126	436
224	126	436
225	127	436
226	127	435
227	128	434
228	128	434
229	129	433
230	129	432
231	130	431
232	130	431
233	131	430
234	132	430
235	132	429
236	133	429
237	133	428
238	134	427
239	134	426
240	135	426
241	135	425
242	136	424
243	136	423
244	137	423
245	137	422
246	138	421
247	138	420
248	139	420
249	139	419
250	140	418
251	140	417
252	141	417
253	141	416
254	142	415
255	142	415
256	143	414
257	143	414
258	144	413
259	144	412
260	145	411
261	145	411
262	146	410
263	146	409
264	147	409
265	147	408
266	148	407
267	148	406
268	149	406
269	149	405
270	150	404
271	150	404
272	151	403
273	151	402
274	152	402
275	153	401
276	153	400
277	154	400
278	154	399
279	155	399
280	155	398
281	156	397
282	156	397
283	157	396
284	157	396
285	158	395
286	158	394
287	159	394
288	160	393
289	160	392
290	160	392
291	161	391
292	161	390
293	162	390
294	163	390
295	163	389
296	164	389
297	164	388
298	165	387
299	166	387
300	166	386
301	167	386
302	167	385
303	168	385
304	168	384
305	169	384
306	169	383
307	170	382
308	170	382
309	171	381
310	171	380
311	172	380
312	172	379
313	173	379
314	174	378
315	174	378
316	175	377
317	175	377
318	176	376
319	176	375
320	177	375
321	177	374
322	178	373
323	179	373
324	179	372
325	180	372
326	180	371
327	181	371
328	181	370
329	182	370
330	182	369
331	183	368
332	183	368
333	184	367
334	184	367
335	185	366
336	185	365
337	186	365
338	186	364
339	187	363
340	187	363
341	188	362
342	188	361
343	189	361
344	189	360
345	190	360
346	190	359
347	191	358
348	191	357
349	192	357
350	192	356
351	193	356
352	193	355
353	194	354
354	194	354
355	195	353
356	195	352
357	196	352
358	196	351
359	197	351
360	197	350
361	198	349
362	198	349
363	199	348
364	199	347
365	200	347
366	200	346
367	201	345
368	201	345
369	202	344
370	202	344
371	203	343
372	203	342
373	204	342
374	204	341
375	205	340
376	205	340
377	206	339
378	206	339
379	207	338
380	207	337
381	208	337
382	208	336
383	209	335
384	209	335
385	210	334
386	210	334
387	211	333
388	211	332
389	212	332
390	212	331
391	213	330
392	213	330
393	214	329
394	214	328
395	215	328
396	215	327
397	216	327
398	216	326
399	217	325
400	217	325
401	218	324
402	218	323
403	219	323
404	219	322
405	220	322
406	220	321
407	221	320
408	221	320
409	222	319
410	222	319
411	223	318
412	223	317
413	224	317
414	224	316
415	225	316
416	225	315
417	226	314
418	226	314
419	226	313
420	227	312
421	227	312
422	228	311
423	228	310
424	229	310
425	229	309
426	230	309
427	230	308
428	231	307
429	231	307
430	232	306
431	233	306
432	233	305
433	234	305
434	234	304
435	235	303
436	235	303
437	236	302
438	236	302
439	237	301
440	237	301
441	238	300
442	238	300
443	239	299
444	239	298
445	240	298
446	240	297
447	241	297
448	241	296
449	242	295
450	242	295
451	243	294
452	243	294
453	244	293
454	244	293
455	245	292
456	245	292
457	246	291
458	246	290
459	247	290
460	247	289
461	248	289
462	248	288
463	249	287
464	249	287
465	250	286
466	250	286
467	251	285
468	251	285
469	252	284
470	252	283
471	253	283
472	253	282
473	254	282
474	254	281
475	255	281
476	255	280
477	256	279
478	256	279
479	257	278
480	257	278
481	258	277
482	259	277
483	259	276
484	260	276
485	260	275
486	261	275
487	261	274
488	262	274
489	262	273
490	263	272
491	263	272
492	264	271
493	264	271
494	265	270
495	265	270
496	266	269
497	266	268
498	267	268
499	267	267
500	268	267
501	268	266
502	269	266
503	269	265
504	270	264
505	270	264
506	271	263
507	271	263
508	272	262
509	272	262
510	273	261
511	273	260
512	274	260
513	274	259
514	275	259
515	275	258
516	276	258
517	276	257
518	277	256
519	277	256
520	278	255
521	278	255
522	279	254
523	279	254
524	280	253
525	280	253
526	281	252
527	281	251
528	282	251
529	282	250
530	283	250
531	283	249
532	284	249
533	285	248
534	285	248
535	286	247
536	286	247
537	287	246
538	287	245
539	288	245
540	288	244
541	289	244
542	289	243
543	290	243
544	290	242
545	291	242
546	292	241
547	292	241
548	293	240
549	293	240
550	294	239
551	294	239
552	295	238
553	295	238
554	296	237
555	296	237
556	297	236
557	297	235
558	298	235
559	298	234
560	299	234
561	299	233
562	300	232
563	300	232
564	301	231
565	301	231
566	302	230
567	302	230
568	303	229
569	303	229
570	304	228
571	304	227
572	305	227
573	305	226
574	306	226
575	306	225
576	307	225
577	307	224
578	308	224
579	308	223
580	309	223
581	309	222
582	310	221
583	310	221
584	311	220
585	311	220
586	312	219
587	312	219
588	313	218
589	313	217
590	314	217
591	314	216
592	315	216
593	315	215
594	316	215
595	316	214
596	317	214
597	317	213
598	318	212
599	318	212
600	319	211
601	319	211
602	320	210
603	320	210
604	320	209
605	321	208
606	321	208
607	322	207
608	322	207
609	323	206
610	324	206
611	324	205
612	325	205
613	325	204
614	326	204
615	326	203
616	327	203
617	327	202
618	328	202
619	328	201
620	329	200
621	329	200
622	330	199
623	330	199
624	331	198
625	332	198
626	332	197
627	333	197
628	333	196
629	334	196
630	334	195
631	335	195
632	335	194
633	336	194
634	336	193
635	337	193
636	338	192
637	338	192
638	339	191
639	339	191
640	340	190
641	340	190
642	341	189
643	341	189
644	342	188
645	343	188
646	343	187
647	344	187
648	344	186
649	345	186
650	345	185
651	346	184
652	346	184
653	347	183
654	347	183
655	348	182
656	349	182
657	349	181
658	350	181
659	350	180
660	351	180
661	351	179
662	352	179
663	352	178
664	353	177
665	353	177
666	354	176
667	354	176
668	355	175
669	355	175
670	356	174
671	356	174
672	357	173
673	357	173
674	358	172
675	358	172
676	359	171
677	359	170
678	360	170
679	360	169
680	361	169
681	361	168
682	362	168
683	362	167
684	363	167
685	363	166
686	364	165
687	364	165
688	365	164
689	365	164
690	366	163
691	366	163
692	367	162
693	367	162
694	368	161
695	368	161
696	369	160
697	370	160
698	370	159
699	371	159
700	371	158
701	372	158
702	373	157
703	373	157
704	374	156
705	374	156
706	375	155
707	376	155
708	376	154
709	377	154
710	377	153
711	378	152
712	378	152
713	379	151
714	380	151
715	380	150
716	381	150
717	381	149
718	382	149
719	382	148
720	383	148
721	383	147
722	384	147
723	384	146
724	385	146
725	385	145
726	386	144
727	386	144
728	387	143
729	387	143
730	388	142
731	388	142
732	388	141
733	389	141
734	389	140
735	390	140
736	390	139
737	391	138
738	391	138
739	392	137
740	392	137
741	393	136
742	393	136
743	394	135
744	394	135
745	395	134
746	395	134
747	396	133
748	396	133
749	397	132
750	397	131
751	398	131
752	398	130
753	399	130
754	399	129
755	400	129
756	400	128
757	401	128
758	401	127
759	402	127
760	402	126
761	403	125
762	403	125
763	404	124
764	404	124
765	405	123
766	405	123
767	406	122
768	406	122
769	407	121
770	407	121
771	408	120
772	408	120
773	409	119
774	409	118
775	410	118
776	410	117
777	411	117
778	411	116
779	412	116
780	412	115
781	413	115
782	414	114
783	414	114
784	415	113
785	415	113
786	415	112
787	416	112
788	416	111
789	417	110
790	417	110
791	418	109
792	418	109
793	419	108
794	419	108
795	420	107
796	420	107
797	421	106
798	421	106
799	422	105
800	422	105
801	423	104
802	423	103
803	424	103
804	424	102
805	425	102
806	425	101
807	426	101
808	426	100
809	427	100
810	427	99
811	428	99
812	428	98
813	429	98
814	429	97
815	430	97
816	430	96
817	431	95
818	431	95
819	432	94
820	432	94
821	433	93
822	433	93
823	434	92
824	434	92
825	435	91
826	435	91
827	436	90
828	436	90
829	437	89
830	437	89
831	438	88
832	439	88
833	439	87
834	440	86
835	440	86
836	441	85
837	441	85
838	442	84
839	442	84
840	443	83
841	443	83
842	444	82
843	444	82
844	445	81
845	445	81
846	446	80
847	446	80
848	447	79
849	447	79
850	448	78
851	448	77
852	449	77
853	449	76
854	450	76
855	450	75
856	451	75
857	451	74
858	452	74
859	452	73
860	453	73
861	453	72
862	454	72
863	455	71
864	455	71
865	456	70
866	456	70
867	457	69
868	457	68
869	458	68
870	458	67
871	459	67
872	459	66
873	460	66
874	460	65
875	461	65
876	461	64
877	462	64
878	462	63
879	463	63
880	463	62
881	464	62
882	464	61
883	465	61
884	466	60
885	466	60
886	467	59
887	468	59
888	468	58
889	469	57
890	469	57
891	470	56
892	471	56
893	471	55
894	472	55
895	472	54
896	473	54
897	473	53
898	474	53
899	474	52
900	475	52
901	476	51
902	476	51
903	477	50
904	477	50
905	478	49
906	478	49
907	479	48
908	479	48
909	480	47
910	480	46
911	481	46
912	482	45
913	482	45
914	483	44
915	484	44
916	484	43
917	485	43
918	486	42
919	486	42
920	487	41
921	487	41
922	488	40
923	489	40
924	489	39
925	490	39
926	490	38
927	491	38
928	491	37
929	492	37
930	493	36
931	493	36
932	494	35
933	494	34
934	495	34
935	495	33
936	496	33
937	497	32
938	497	32
939	498	31
940	499	31
941	499	30
942	500	30
943	500	29
944	501	29
945	501	28
946	502	28
947	503	27
948	503	27
949	504	26
950	504	26
951	505	25
952	506	24
953	506	24
954	507	23
955	508	23
956	508	22
957	509	22
958	509	21
959	510	21
960	511	20
961	511	20
962	512	19
963	513	19
964	513	18
965	514	18
966	514	17
967	515	17
968	516	16
969	516	15
970	517	15
971	517	14
972	518	14
973	519	13
974	519	13
975	520	12
976	521	12
977	521	11
978	522	11
979	522	10
980	523	10
981	523	9
982	533	9
983	534	8
984	534	8
985	535	7
986	535	7
987	536	6
988	537	5
989	537	5
990	538	4
991	538	4
992	539	3
993	539	3
994	540	2
995	541	2
996	541	1
997	542	1
998	542	0
999	543	0
